model,rmse,mae
meteo_only,4.164158710037904,2.5395593232283455
stacked_residual,4.191773403465205,2.5818393674288176
meteo_panchang,4.371772512631825,2.6847075690262114
full_all_blocks,4.514530673834453,2.9210388965925573
