feature,importance
latitude,0.0985790131895388
longitude,0.08661751654323628
wind,0.046381592109393736
pressure,0.03569376200239132
vedic_chandra_speed_deg_per_day,0.015179876562365904
movement_speed,0.012164683439336375
mercury_ecliptic_lat_deg,0.011943361059228849
venus_ecliptic_lat_deg,0.011934472159273304
spline_bearing_deg,0.010416240861333175
moon_ecliptic_lat_deg,0.010029474378479758
tamil_yoga,0.009882803394888087
karana,0.009516422711443175
vedic_chandra_full_degree,0.009168192898854781
vedic_budha_speed_deg_per_day,0.009133858679530224
yamaganda,0.008767057573182465
spline_length_deg,0.008740082041359327
gulikai_kalam,0.008720059559787942
vedic_shukra_full_degree,0.008548242257811292
jupiter_ecliptic_lat_deg,0.008431171699620469
vedic_chandra_declination,0.008337459601303996
moon_dec_deg,0.008318509030226545
rahu_kalam,0.008061202073438077
moonsign,0.007908762106641194
mars_ecliptic_lat_deg,0.007689370954703164
day_of_year,0.007522134841484365
vedic_guru_full_degree,0.007307691328638647
vedic_budha_full_degree,0.007255883674279178
vedic_mangal_full_degree,0.007232779368450813
jupiter_dec_deg,0.007168797925389519
displacement,0.007120874166163193
spline_curvature,0.00703455243448705
mars_dec_deg,0.006917268363914069
mercury_dec_deg,0.006718127303039488
moon_ecliptic_lon_deg,0.006586513541824394
venus_dec_deg,0.006292722724126632
sun_dec_deg,0.006178101529205072
jupiter_ecliptic_lon_deg,0.006007605856938346
vedic_chandra_nakshatra,0.005874986829494073
vedic_arun_full_degree,0.005842146655507367
jupiter_ra_hours,0.005472481884534317
vedic_budha_declination,0.0054642126968258145
yoga,0.005463624474058733
moon_sin_az,0.005459724470156582
anandadi_yoga,0.00540753033247862
vedic_chandra_right_ascension,0.005246394239667296
vedic_shukra_declination,0.005204361539377385
vedic_lagna_speed_deg_per_day,0.005163101372639694
tithi,0.005051140809703758
saturn_dec_deg,0.005018456542682663
vedic_surya_full_degree,0.004934293091624152
day_of_week,0.004885859712960114
mars_sin_az,0.004748426950874704
sun_ecliptic_lat_deg,0.004742232168435706
mercury_ra_hours,0.004731930709389635
moon_ra_hours,0.004708301360105114
moon_cos_alt,0.004688543728574612
mercury_ecliptic_lon_deg,0.004615626283650925
mars_azimuth_deg,0.004613598581630479
mars_ecliptic_lon_deg,0.004602003188130051
mars_ra_hours,0.004596269248922099
vedic_guru_right_ascension,0.004493407269881026
vedic_surya_right_ascension,0.004491319448154242
moon_cos_az,0.004482687381541864
moon_azimuth_deg,0.004423373418834442
sun_ra_hours,0.004409694509199995
sun_ecliptic_lon_deg,0.004355736044025773
venus_sin_az,0.004347183530384152
jupiter_cos_az,0.004319212348199669
mars_cos_az,0.004296569850853112
vedic_mangal_right_ascension,0.004186622648992297
vedic_spashth_ketu_speed_deg_per_day,0.0041504482445943475
jupiter_cos_alt,0.004133742899766741
vedic_mangal_declination,0.004112134270605486
venus_ecliptic_lon_deg,0.004066865936328096
