feature,VIF
latitude,1.9915253879726882
saturn_altitude_deg,1.7094323710518216
day_of_year,1.702507455656376
jupiter_altitude_deg,1.5790894581471955
sun_ecliptic_lon_deg,1.4806281122618672
dinamana_minutes,1.4714652371453074
longitude,1.2142337364672584
sun_altitude_deg,1.095973778934595
hour_utc,1.0870219769765248
elevation,1.0789381080514024
sun_azimuth_deg,1.0291370323086553
moon_ecliptic_lon_deg,1.0097875369381664
moon_altitude_deg,1.007741935481788
moon_azimuth_deg,1.0057982350406565
