,sun_ra_hours,sun_dec_deg,sun_ecliptic_lon_deg,sun_ecliptic_lat_deg,sun_altitude_deg,sun_azimuth_deg,sun_sin_alt,sun_cos_alt,sun_sin_az,sun_cos_az,moon_ra_hours,moon_dec_deg,moon_ecliptic_lon_deg,moon_ecliptic_lat_deg,moon_altitude_deg,moon_azimuth_deg,moon_sin_alt,moon_cos_alt,moon_sin_az,moon_cos_az,mercury_ra_hours,mercury_dec_deg,mercury_ecliptic_lon_deg,mercury_ecliptic_lat_deg,mercury_altitude_deg,mercury_azimuth_deg,mercury_sin_alt,mercury_cos_alt,mercury_sin_az,mercury_cos_az,venus_ra_hours,venus_dec_deg,venus_ecliptic_lon_deg,venus_ecliptic_lat_deg,venus_altitude_deg,venus_azimuth_deg,venus_sin_alt,venus_cos_alt,venus_sin_az,venus_cos_az,mars_ra_hours,mars_dec_deg,mars_ecliptic_lon_deg,mars_ecliptic_lat_deg,mars_altitude_deg,mars_azimuth_deg,mars_sin_alt,mars_cos_alt,mars_sin_az,mars_cos_az,jupiter_ra_hours,jupiter_dec_deg,jupiter_ecliptic_lon_deg,jupiter_ecliptic_lat_deg,jupiter_altitude_deg,jupiter_azimuth_deg,jupiter_sin_alt,jupiter_cos_alt,jupiter_sin_az,jupiter_cos_az,saturn_ra_hours,saturn_dec_deg,saturn_ecliptic_lon_deg,saturn_ecliptic_lat_deg,saturn_altitude_deg,saturn_azimuth_deg,saturn_sin_alt,saturn_cos_alt,saturn_sin_az,saturn_cos_az,uranus_ra_hours,uranus_dec_deg,uranus_ecliptic_lon_deg,uranus_ecliptic_lat_deg,uranus_altitude_deg,uranus_azimuth_deg,uranus_sin_alt,uranus_cos_alt,uranus_sin_az,uranus_cos_az,neptune_ra_hours,neptune_dec_deg,neptune_ecliptic_lon_deg,neptune_ecliptic_lat_deg,neptune_altitude_deg,neptune_azimuth_deg,neptune_sin_alt,neptune_cos_alt,neptune_sin_az,neptune_cos_az
PC1,-0.06820031431249707,0.0911374093475345,-0.0686301258787837,-0.04335050567697396,0.01543320425196959,0.0017032503584783476,0.014647632232141973,0.000936123392023749,-0.003125194536150253,0.060235478051336985,0.006472879242088,-0.0040303280929495375,0.005333554584034438,-0.010258800825182877,-0.004110100788729747,-0.001165779441010996,-0.0036593580007965097,0.008173641946102605,0.0005679341453513207,-0.0008891791485968559,-0.07435494451581363,0.07533860088669474,-0.07523576616453317,-0.0534839911535365,0.012501900056061823,0.0027635114286083187,0.012083382540815969,0.0005990793063471464,-0.004345624721161722,0.05186984522094652,-0.08286432260662108,0.11100034519852699,-0.08455539371437396,-0.0061864401058977034,0.01844808480230036,0.0020721124487234287,0.016855002347751856,0.0010951114659010657,-0.003466185345165633,0.07345850533030247,-0.08040422737580165,0.1167179590297327,-0.0802040154691362,0.08756141299789744,0.015191983637253796,-0.001413270538537397,0.013666850321620143,0.003559238280618546,-7.862200243258955e-05,0.0801494699214613,-0.20388066622016274,0.2515877103861754,-0.2047238990844207,-0.19184171403512143,0.02339006364497343,0.0018770723746394113,0.020439175762747112,0.003216993565962979,-0.0027720369287975596,0.1680866136803068,0.026327625685915835,0.27043350356826085,0.036604166305580166,-0.2724486100202843,0.008044749657112478,0.0027873214009646163,0.008660272065078694,-0.012081062801815446,-0.0027878193276942567,0.10463476381168671,0.28293693961270405,0.2801710743623654,0.2825643150065103,0.275579749016329,0.017525065453218826,-0.008520426708226853,0.015574585869101116,0.012546036964738945,0.008805246807825106,0.050587760487727305,-0.1312391510776479,0.28505893679890637,-0.1180507627961915,-0.27335374571195736,0.01081270550053186,-0.0025435202065934408,0.01049521861979362,0.002257308471929696,0.003798411498986284,0.035431473575949314
PC2,-0.11095144021232642,0.11938666606056042,-0.11148156778730015,-0.07247949540354659,-0.21823539987701546,-0.029283865857840485,-0.2206635512533914,0.04933307289137524,0.013695592645110097,0.2461663342459268,-0.005964979012820788,0.0057025326868112534,-0.005671927926714668,-0.0037049816383849803,-0.016975890507960244,-0.030474064442917812,-0.017414782812504245,0.026654665221907972,0.0015300088089362984,0.01848966148401223,-0.11050605424382699,0.1180116770843495,-0.11076574441718857,-0.005596118349253753,-0.21718795199612326,-0.013055908594131601,-0.2196706543718367,0.033708153437590434,-0.0028086586065045704,0.24440665485960203,-0.0945038023762452,0.10342816976817684,-0.09561831583131017,-0.008723873523271818,-0.1936804935368632,-0.036194992087381785,-0.1961943007742043,0.037191056078832475,0.01713629304345273,0.21467893829641913,-0.012224332384390923,0.021729891760891233,-0.01305803113686569,-0.03697625534434292,-0.07986997128714438,-0.04876228746891081,-0.08144272437468503,0.03256278379670205,0.03259017186929222,0.08712195578113757,0.013365534768376802,-0.025438450290059297,0.012819303398633351,0.03713103451322979,0.05137308963276315,0.0009029755349572107,0.053117901999148245,-0.001344132494780544,-0.03821494231023785,-0.049198132859445506,-0.04366516338226021,-0.03303750206796992,-0.04399784744617315,0.045634996049086024,0.14685048211190974,0.13237781845498733,0.15100740941402738,0.07480406212149064,-0.14704594842256705,-0.14708312775770485,-0.028395399285114774,-0.02869988456488391,-0.028481117295325185,-0.04099922643463772,0.15999393110461455,-0.16205084106983028,0.16036871713006035,-0.06269915661784507,0.17455473478272088,-0.1253033383665108,-0.00808293589326171,-0.022000386109421094,-0.01157800068330272,0.03909467300834164,0.2296628320809751,-0.0035013049530369803,0.23220943327988486,0.04406597882474196,0.0018894920765604745,-0.21085574165648407
PC3,-0.11730036988939842,0.12733673155152303,-0.11794742601217457,-0.21776001620221583,0.07239827905817475,0.2155049279254206,0.07214155187959728,0.02291463409183936,-0.2253504484198725,0.06815546207833945,-0.001298313482854821,-0.0025599603667964023,-0.0006941734130665074,-0.02480256994339815,0.0051506198489220155,0.028236347914818646,0.005331539577538276,0.06990390816860029,-0.01812777542004225,-0.0024834985218186315,-0.11748203628513654,0.1260508100786327,-0.11770910310550814,-0.007729731783449829,0.08715911747593778,0.21166379833532156,0.0871106258901076,0.02595782686173664,-0.22163009214665666,0.057052320679948525,-0.0990724176666532,0.11018121624184164,-0.09989025541140437,-0.010143752279283446,0.06252817104891326,0.18784789255127263,0.06216011472048808,0.05140529194656225,-0.19668635698791545,0.07250763149941565,-0.0041093016623881895,0.01182016328463804,-0.005233072881320461,-0.04754584735533787,-0.010123785205591514,0.07216549635365392,-0.010859176655793413,0.032054512785892775,-0.07061706623136718,0.02418766095195769,0.020585132385161027,-0.031800100673693585,0.01989782829966084,0.047321674183446835,0.0552162929568839,-0.071593576185947,0.05633856637219554,0.09093549578478546,0.08291970461665096,-0.04001477156573201,-0.05585554201786885,-0.038606015136926485,-0.056733479483510964,0.05427809860246353,0.1390246795030755,-0.19616153157223803,0.14261830653060908,0.05484562874382452,0.20889398124706393,-0.07344988878568795,-0.03518004938073841,-0.035738160620486625,-0.03531062574644831,-0.04850772264450069,-0.2139887971843534,-0.12825375815449178,-0.21819187768856269,0.10463490403581154,0.1448579523285099,0.18825764479742083,-0.012673335577242059,-0.028286060766619128,-0.01659515161883098,0.046835433037515216,-0.04280942538173845,-0.235899235793215,-0.042996739155527236,-0.014359269446699414,0.26592282645431237,0.0788505346808883
PC4,-0.2389613930479255,0.25885472682092237,-0.24026221694417602,-0.0030680479113234793,0.132479996402356,-0.10057788171206244,0.13135948147964274,-0.039326588009841706,0.11497754921068176,0.08358124371567724,-0.004648586395643774,0.0088888379410537,-0.0053643208700971485,0.0071131703483008945,0.008376863957335324,-0.0013417499252062987,0.008385584996907855,-0.05240918373955635,0.009610483618362637,0.005101982879916889,-0.24148427060947025,0.2562577689665313,-0.24232177564231305,-0.01665348257447653,0.12007616145749123,-0.10477291155175782,0.11918933498319495,-0.037596268084957266,0.12028738472066805,0.0893336335869899,-0.20284556028046755,0.22487036233779462,-0.2046483914493396,-0.022027919479081465,0.12216689771053317,-0.08281413757747468,0.12134831393169401,-0.04547628149955641,0.09770607623090917,0.07935615662133884,-0.0037539502176036073,0.023228944872068804,-0.005532598690156548,-0.09334317020314568,0.06857273440746876,-0.017920070137325824,0.06826948827569504,-0.03231011542311117,0.02300697235971652,-0.027638033304644025,0.028571947430104824,-0.05029629641155437,0.027001968539757535,0.08891575359659602,-0.07800163913669983,0.0400168109056656,-0.07626965093048993,-0.045029506086117124,-0.02545619940372386,0.009872209833934805,-0.10619274305270804,-0.06582219300287206,-0.10789424499970816,0.0988463676441807,-0.1800967015327815,0.03207672466011324,-0.17770126246008722,-0.06881515677219521,-0.0322652643915704,0.11307674414379794,-0.05971842239011081,-0.061018637410249106,-0.06001252406475307,-0.08650873732704023,0.059789510180164616,0.14389733242037384,0.05653124974931989,-0.009152173507644263,-0.15598018657560936,-0.0571103783141285,-0.02640245143383599,-0.04593739917631265,-0.03383260761268723,0.08373697177781204,-0.09770501661513602,0.11939613019924498,-0.09657929706203701,-0.007111244448892406,-0.13254117409424584,0.08894625084319017
PC5,0.04351547015673903,-0.03065225320044601,0.042569425735564936,-0.028178407491154554,0.23895224324481945,-0.09865881674684439,0.2374849171502137,-0.07856745236720725,0.07376138300118584,0.03659450954954274,0.0044944415918941605,-0.006401086429359673,0.004867547968664107,-0.008093415308407105,0.00792926402619408,-0.03917811252780771,0.008231317865469608,-0.05061590707163196,0.01823458432331162,0.002566470206553331,0.04383649799040852,-0.027499552248099694,0.04472178626730247,0.008784608973058062,0.23459057949912088,-0.08351956016515472,0.2331842002514976,-0.07868191007928546,0.06172610913471354,0.037947422090429346,0.028240664349953145,-0.021752354740589605,0.02879775781465872,0.014668270488863515,0.24016662055153493,-0.08397733405705629,0.23976620599674534,-0.057043817862751194,0.05945858007763383,0.024733358303694438,-0.0011713305433416234,-0.006309275539624157,-0.0011172147454771133,0.01536580520208867,0.1357828735306038,-0.17805103714899467,0.13590394962940047,-0.040450452522991974,0.15965657557447938,-0.024667780639471223,0.011896551519922804,-0.009783093547879197,0.011638720977180085,0.006331823703649179,0.2466467444450517,0.0296316109471371,0.24764349269949723,-0.04007723589806306,-0.056993086537261574,-0.0398147802224446,-0.0017145877978351502,-0.005691438408204934,-0.0021665663622197208,0.006686500762087338,0.2516339783370507,0.117197831594885,0.25189154274735837,-0.02840608869489306,-0.1207619546129018,0.05119730942573991,-0.014016066812088121,-0.014207912302243839,-0.014054043294788644,-0.004474761085641543,0.10230387645301828,-0.1831984235976088,0.10436451594312496,-0.027636021150847775,0.204890103491448,-0.013872993621708695,0.002440059240427997,-0.01040797125325332,0.0027245401583280756,0.012854801519324398,0.21927393119376398,-0.04636854506077783,0.21733465125093784,-0.024457328747017927,0.057926852057630505,0.06205976559694773
