,0
lahiri_ayanamsha,0.7198736452386383
vedic_rahu_full_degree,0.690830091444659
vedic_rahu_right_ascension,0.6880288639103318
vedic_ketu_right_ascension,0.6783031341901022
vedic_ketu_full_degree,0.6779431134115717
saturn_ecliptic_lat_deg,0.6013464684839605
vedic_spashth_rahu_full_degree,0.5750043965306739
vedic_spashth_rahu_right_ascension,0.5709673696853326
vedic_spashth_ketu_full_degree,0.5621724383295827
vedic_spashth_ketu_right_ascension,0.5615258283328597
jupiter_ra_hours,0.5413150574680401
jupiter_ecliptic_lon_deg,0.537694137351612
vedic_guru_right_ascension,0.5341191975985415
uranus_ra_hours,0.5328231109099866
vedic_guru_full_degree,0.5305056779576471
uranus_ecliptic_lon_deg,0.5299690141069702
saturn_ra_hours,0.5251977593225741
uranus_dec_deg,0.5225863027955553
saturn_ecliptic_lon_deg,0.5220821320793476
vedic_shani_right_ascension,0.5165515059426582
vedic_shani_full_degree,0.5066457794186219
vedic_rahu_declination,0.5062340689399072
vedic_arun_full_degree,0.5043422766582442
jupiter_ecliptic_lat_deg,0.504144610666752
vedic_ketu_declination,0.5034648633802492
vedic_arun_right_ascension,0.4992351167811391
uranus_ecliptic_lat_deg,0.49344026687573184
dinamana_minutes,0.4919986742902971
ratrimana_minutes,0.4871058765748142
neptune_ecliptic_lat_deg,0.4868237128845063
saturn_dec_deg,0.47467798608239953
jupiter_dec_deg,0.4584293378024391
neptune_ra_hours,0.4569376923153303
neptune_ecliptic_lon_deg,0.455020053921106
neptune_dec_deg,0.4403297241555757
vedic_arun_declination,0.4398353433740576
vedic_guru_declination,0.4342770230244737
vedic_varun_right_ascension,0.4263634713564475
vedic_spashth_rahu_declination,0.4209766197187532
vedic_yam_full_degree,0.42080407459945324
vedic_yam_right_ascension,0.420696226493825
vedic_spashth_ketu_declination,0.4201211066560422
vedic_varun_full_degree,0.4197691830581771
vedic_shani_declination,0.4068041476787494
vedic_varun_declination,0.36486262626005583
vedic_mangal_right_ascension,0.34946501700635046
mars_ra_hours,0.34686653963374514
vedic_mangal_full_degree,0.34514269252948093
mars_ecliptic_lon_deg,0.3449866933360006
mars_ecliptic_lat_deg,0.3249773845868784
vedic_budha_right_ascension,0.2856495361915252
mercury_ra_hours,0.2853195698432689
mercury_ecliptic_lon_deg,0.274108555878116
vedic_budha_full_degree,0.2726963200830115
sun_ecliptic_lon_deg,0.2717991547766916
vedic_surya_right_ascension,0.2716657161260736
sun_ra_hours,0.27158641626233404
vedic_mangal_declination,0.2702234526031697
vedic_surya_full_degree,0.2700774957446166
mars_dec_deg,0.26691326976785934
venus_ra_hours,0.26280129117771445
vedic_shukra_full_degree,0.26078631339732095
venus_ecliptic_lon_deg,0.2598252423633385
day_of_year,0.2585517875898491
vedic_shukra_right_ascension,0.2582559230242225
vedic_yam_declination,0.21510894030759875
longitude,0.20841705180650916
spline_end_lon,0.2034542094950984
venus_ecliptic_lat_deg,0.18761826910638835
hour_utc,0.18008566750079336
venus_dec_deg,0.17994286422431927
vedic_shukra_declination,0.17556534555032854
latitude,0.16667267431410782
spline_end_lat,0.1654989019528541
vedic_surya_declination,0.15804488543300277
sun_dec_deg,0.15733258398830152
mercury_dec_deg,0.14975723589586565
nearest_lon,0.14366033031994085
vedic_budha_declination,0.14351649797612787
nearest_lat,0.14131815312399532
elevation,0.13062574020471374
vedic_mangal_speed_deg_per_day,0.12705665420119594
timezone_offset,0.11317924942425872
month,0.10214125256088202
vedic_shani_speed_deg_per_day,0.10137483713632367
year,0.09023214096957322
vedic_shukra_speed_deg_per_day,0.08420669986752927
spline_bearing_deg,0.0803652101516441
vedic_guru_speed_deg_per_day,0.07961494290984028
vedic_budha_speed_deg_per_day,0.07903615217071813
spline_length_deg,0.07745250098531109
vedic_yam_speed_deg_per_day,0.07543748048301513
mercury_ecliptic_lat_deg,0.0721283941567874
vedic_varun_speed_deg_per_day,0.07156374443448321
spline_displacement,0.06702580718031115
vedic_surya_speed_deg_per_day,0.0655773632258585
sun_ecliptic_lat_deg,0.046277674526256085
vedic_arun_speed_deg_per_day,0.036314204452044585
vedic_lagna_speed_deg_per_day,0.02532883887877091
vedic_chandra_speed_deg_per_day,0.024927938712967723
vedic_yam_padam,0.019579800795201052
vedic_chandra_declination,0.0190498770113523
vedic_varun_padam,0.018853791714013468
sun_cos_az,0.018324483886821064
vedic_spashth_ketu_speed_deg_per_day,0.017972933545567393
jupiter_azimuth_deg,0.017422422275752858
vedic_spashth_rahu_speed_deg_per_day,0.017313817913221285
spline_curvature,0.016372651673396632
mercury_cos_az,0.01629358127450331
sun_azimuth_deg,0.015355363712220793
vedic_chandra_full_degree,0.014109159293645313
spline_point_count,0.013422438517607382
vedic_spashth_ketu_padam,0.01267250297636835
vedic_rahu_padam,0.012627228458286233
mercury_azimuth_deg,0.012499520677972775
moon_dec_deg,0.012004519333718378
vedic_chandra_right_ascension,0.011517984219265642
vedic_arun_padam,0.011434548311445525
saturn_sin_alt,0.011210590364719941
moon_ecliptic_lat_deg,0.011121020562540274
vedic_guru_padam,0.011038009624165568
venus_cos_az,0.01061967302320177
jupiter_cos_az,0.01033355927671753
vedic_ketu_padam,0.010165570275515456
sun_sin_alt,0.010131000823174752
moon_ra_hours,0.010074067736730363
sun_altitude_deg,0.009422757043189733
moon_ecliptic_lon_deg,0.0093573921268435
saturn_azimuth_deg,0.009238041308569755
uranus_sin_alt,0.009171583740470446
vedic_shani_padam,0.00912262174925349
mercury_sin_alt,0.009046933439703864
neptune_sin_alt,0.00900115423752279
mercury_altitude_deg,0.008684447758318115
sun_cos_alt,0.008244851549130239
vedic_spashth_rahu_padam,0.008163309575154543
uranus_cos_az,0.008110949029250136
neptune_altitude_deg,0.007527842846255517
venus_azimuth_deg,0.007465411995438487
vedic_mangal_padam,0.007291337367008488
venus_altitude_deg,0.007157754604798505
venus_sin_alt,0.007090464668082497
mercury_cos_alt,0.007087709563438516
day_of_week,0.007061406075427712
saturn_altitude_deg,0.006816267622341776
neptune_azimuth_deg,0.00657085073168151
mercury_sin_az,0.006286742644930676
uranus_altitude_deg,0.006102973481127982
neptune_cos_alt,0.0060875762076086914
jupiter_sin_alt,0.006044032785918141
sun_sin_az,0.005903278942898105
jupiter_altitude_deg,0.005873400230847814
venus_sin_az,0.005732766383773402
neptune_cos_az,0.00553512671312717
jupiter_cos_alt,0.005113460239284606
mars_sin_az,0.004901172257007147
mars_cos_az,0.004696051902238985
vedic_lagna_right_ascension,0.004560814028162774
saturn_sin_az,0.004494743319635397
mars_azimuth_deg,0.004451340044924201
mars_altitude_deg,0.004195655650842234
jupiter_sin_az,0.004128408132665129
venus_cos_alt,0.0038092413953787485
neptune_sin_az,0.003512567973802838
mars_sin_alt,0.0034739768401754745
saturn_cos_az,0.0033214717825957862
vedic_lagna_full_degree,0.0030513184143625693
vedic_lagna_padam,0.0029296539407841493
vedic_shukra_padam,0.0025644377730511536
uranus_azimuth_deg,0.0023791594697941676
vedic_surya_padam,0.0020752815551743353
moon_cos_alt,0.0020394502064275954
vedic_budha_padam,0.0015393107987886623
vedic_chandra_padam,0.0012025985797343708
vedic_lagna_declination,0.0008434982461311691
vedic_rahu_speed_deg_per_day,0.0007123484565285665
moon_sin_az,0.0004765726463391573
mars_cos_alt,0.00032659198314011206
vedic_ketu_speed_deg_per_day,0.0002962633897736211
uranus_sin_az,0.00028559716080511777
moon_azimuth_deg,0.00015855872422676498
moon_sin_alt,0.0
moon_altitude_deg,0.0
moon_cos_az,0.0
uranus_cos_alt,0.0
saturn_cos_alt,0.0
