,H-statistic,p-value,n_groups,significant
tithi,56.48943977088588,2.019746704981296e-06,17,True
nakshatra,121.00591393841928,7.26516881898256e-14,28,True
yoga,148.04225680706224,1.163581805738105e-18,28,True
karana,47.874585727682536,1.5030861456433009e-06,12,True
paksha,13.765664307265471,0.0010252363028123658,3,True
moonsign,83.02048732015292,1.0917723532566576e-12,13,True
weekday,17.134851368488217,0.016547025323982167,8,True
