,0
wind,1.0
jupiter_dec_deg,0.049882335603004875
mars_ra_hours,0.040220630152587
mars_ecliptic_lon_deg,0.03923834324711196
saturn_ecliptic_lon_deg,0.0360607704018001
jupiter_ecliptic_lat_deg,0.03497075994987134
jupiter_cos_az,0.032147338456235325
saturn_dec_deg,0.028299983718560566
sun_cos_az,0.024486051494381527
saturn_ra_hours,0.02406349163889996
mercury_cos_az,0.018122041145746275
sun_dec_deg,0.016389803333567324
uranus_ra_hours,0.016125952099954863
uranus_ecliptic_lon_deg,0.015337758410979773
saturn_cos_az,0.014995420918710117
uranus_dec_deg,0.011546847510838414
mercury_dec_deg,0.008134682698422943
saturn_azimuth_deg,0.006508560765606403
uranus_altitude_deg,0.006090713421587043
mars_cos_alt,0.005292965128909474
neptune_cos_az,0.005246303248821288
neptune_dec_deg,0.004833588125078395
sun_azimuth_deg,0.004786877931835733
uranus_sin_alt,0.004341420784659458
moon_cos_az,0.0035807737504590974
mercury_azimuth_deg,0.003387877299656174
venus_cos_az,0.003175106916564815
mercury_ra_hours,0.003162508579177993
uranus_cos_alt,0.003154724600270438
uranus_ecliptic_lat_deg,0.0028975720131556508
neptune_cos_alt,0.0027232689880822883
jupiter_cos_alt,0.0021489699722039303
uranus_sin_az,0.001583270716543131
jupiter_azimuth_deg,0.0013321008821522747
moon_cos_alt,0.001324695565770124
neptune_azimuth_deg,0.0009400442587561471
mercury_ecliptic_lon_deg,0.000887453340182934
neptune_sin_az,0.0008183313661239484
moon_sin_az,0.0005677503982219036
moon_ecliptic_lat_deg,0.0002456076676746905
moon_azimuth_deg,0.00019570440491832643
mars_azimuth_deg,-4.524794698412346e-06
mars_sin_az,-0.00014330886499335646
jupiter_sin_alt,-0.0005786877602726599
saturn_cos_alt,-0.0007047875392026267
venus_cos_alt,-0.0013656381911016338
uranus_azimuth_deg,-0.0016646129092244691
jupiter_altitude_deg,-0.0017740051529817143
sun_sin_az,-0.001838634178360164
venus_azimuth_deg,-0.001941849005122674
neptune_sin_alt,-0.0019641140042969624
moon_sin_alt,-0.0023146245662397083
moon_altitude_deg,-0.002365562997618398
jupiter_sin_az,-0.0028476872636097705
neptune_altitude_deg,-0.0028634700018566467
venus_sin_az,-0.002980164130751741
saturn_sin_az,-0.0034781938535929546
mercury_ecliptic_lat_deg,-0.0036116457150056087
mercury_sin_az,-0.003632638043166147
saturn_ecliptic_lat_deg,-0.0041847819328985
moon_dec_deg,-0.00446485398095107
mercury_cos_alt,-0.004782815689526334
sun_cos_alt,-0.00509529371015581
venus_ra_hours,-0.005289150856042415
saturn_sin_alt,-0.006414889925753454
uranus_cos_az,-0.006998323876243817
moon_ecliptic_lon_deg,-0.007905951067297589
moon_ra_hours,-0.008446715532081692
saturn_altitude_deg,-0.00886344230153988
venus_ecliptic_lon_deg,-0.008961481702192818
neptune_ecliptic_lon_deg,-0.009401110491412637
mercury_sin_alt,-0.009452419459182855
venus_dec_deg,-0.00951792468401444
mars_cos_az,-0.009758330866158366
mercury_altitude_deg,-0.009920437499332548
sun_sin_alt,-0.010002133460731201
mars_sin_alt,-0.010414926167309808
sun_altitude_deg,-0.010684018057841657
venus_sin_alt,-0.011447240378332018
mars_altitude_deg,-0.0121133168331439
venus_altitude_deg,-0.013418411785323586
neptune_ecliptic_lat_deg,-0.014463711158895378
mars_ecliptic_lat_deg,-0.01595512930932473
sun_ra_hours,-0.018553331366524307
sun_ecliptic_lon_deg,-0.018567086934195374
mars_dec_deg,-0.01867631400062753
neptune_ra_hours,-0.022446463955093074
sun_ecliptic_lat_deg,-0.0329230902517111
venus_ecliptic_lat_deg,-0.04868529212934124
jupiter_ra_hours,-0.05724692547580528
jupiter_ecliptic_lon_deg,-0.058411573146939434
pressure,-0.9414187244895752
