,count,mean,std,min,25%,50%,75%,max
wind,47533.0,49.90999936885953,27.381867393978112,0.0,30.0,40.0,60.0,170.0
pressure,47471.0,989.9426597290977,19.511147942490734,882.0,983.0,997.0,1004.0,1019.0
longitude,47533.0,35.13929059811078,105.89179289317352,-179.8,-71.0,73.5,126.4,256.3
latitude,47533.0,10.41272799949509,19.48095615035862,-44.3,-11.7,15.9,22.8,64.0
displacement,46589.0,0.6039342328434798,4.991899479665493,0.0,0.30000000000001137,0.4517742799230535,0.6708203932499369,360.310019982792
movement_speed,46589.0,0.19512809857908545,1.4005015563108014,0.0,0.10268614533832765,0.15691469727919746,0.22360679774997896,120.103339994264
wind_change,46589.0,-0.020863293910579752,3.5784386012629135,-55.0,-2.0,0.0,2.0,70.0
pressure_change,46507.0,-0.03820930182553164,2.600341298614143,-36.0,-1.0,0.0,1.0,29.0
